,content,comments,nickname,url
0,X,[0],X,X
1,"[디시人터뷰] 송유진-전재익, 컬링 신예에서 컬링 스타로",[0],X,https://gall.dcinside.com/https://dcnewsj.joins.com/dcarticle/28671
2,삭제된 게시글 및 ip차단목록,[0],ㅇㅇ,https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35424&page=1
3,침펄 둘이 게임하는거,[2],(1.227),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35456&page=1
4,공손찬전 재밌길래 여포전도 보려고 했는데,[1],(219.241),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35454&page=1
5,방장님 삼국지14하는거 재밌음?,[2],SEYDSLRL,https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35453&page=1
6,메탈슬러그도 똥착력 개높네,[0],(119.195),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35452&page=1
7,말년햄 티알피쥐 언제또하냐,[2],(14.41),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35451&page=1
8,이말년 서유기 재밌냐?,[6],(180.68),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35450&page=1
9,분명히 비슷한 장르인거 같은데,[5],(211.36),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35449&page=1
10,다음주 수요일에 배디 나미춘 침터뷰ㄷㄷ,[5],볼볼,https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35448&page=1
11,침펄 게임할때마다,[0],(119.195),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35447&page=1
12,침착맨 롤잘함?? 롤 안해서,[4],(110.70),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35446&page=1
13,기안84 복학왕에 침펄나오네,[0],(1.253),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35445&page=1
14,그 책 이말년서유기 단행본 어디서 사냐???,[2],(175.223),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35443&page=1
15,침튜브 왜케 짧게 안끊고 한영상을 길게 가져가는거야?,[21],(118.235),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35438&page=1
16,와 매직박 안본사이에 유튜브 구독자수 많이 늘었네,[3],(175.113),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35433&page=1
17,오프닝이랑 엔딩 곡 뭐에요?,[2],(110.70),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35432&page=1
18,방장이나 배도라지가 롤하는거 보는게 재밌는거지,[3],(183.103),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35431&page=1
